title,summary,source,url,published_at,authors,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,ticker_sentiment_label,ticker
CATERPILLAR INC — SEC 8-K: Results of Operations and Financial Condition; Regulation FD Disclosure; Financial Statements and Exhibits,"SEC 8-K filing for CATERPILLAR INC. Items: Results of Operations and Financial Condition, Regulation FD Disclosure, Financial Statements and Exhibits. Filed 2026-01-29.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/18230/000001823026000003/cat-20260129.htm,2026-01-29T06:00:00+00:00,,0.0004,Neutral,0.0004,Neutral,CAT
CATERPILLAR INC — SEC 8-K: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Amendments to Articles of Incorporation or Bylaws; Financial Statements and Exhibits,"SEC 8-K filing for CATERPILLAR INC. Items: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers, Amendments to Articles of Incorporation or Bylaws, Financial Statements and Exhibits. Filed 2026-01-06.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/18230/000110465926001346/tm261912d1_8k.htm,2026-01-06T06:00:00+00:00,,-0.0428,Neutral,-0.0428,Neutral,CAT
CATERPILLAR INC — SEC 8-K: Results of Operations and Financial Condition; Regulation FD Disclosure; Financial Statements and Exhibits,"SEC 8-K filing for CATERPILLAR INC. Items: Results of Operations and Financial Condition, Regulation FD Disclosure, Financial Statements and Exhibits. Filed 2025-10-29.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/18230/000001823025000043/cat-20251029.htm,2025-10-29T06:00:00+00:00,,0.0004,Neutral,0.0004,Neutral,CAT
CATERPILLAR INC — SEC 8-K: Entry into a Material Definitive Agreement; Creation of a Direct Financial Obligation; Financial Statements and Exhibits,"SEC 8-K filing for CATERPILLAR INC. Items: Entry into a Material Definitive Agreement, Creation of a Direct Financial Obligation, Financial Statements and Exhibits. Filed 2025-09-03.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/18230/000110465925087011/tm2524597d2_8k.htm,2025-09-03T06:00:00+00:00,,0.2356,Somewhat-Bullish,0.2356,Somewhat-Bullish,CAT
CATERPILLAR INC — SEC 8-K: Other Events; Financial Statements and Exhibits,"SEC 8-K filing for CATERPILLAR INC. Items: Other Events, Financial Statements and Exhibits. Filed 2025-08-28.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/18230/000110465925084800/tm2524597d1_8k.htm,2025-08-28T06:00:00+00:00,,-0.0246,Neutral,-0.0246,Neutral,CAT
CATERPILLAR INC — SEC 8-K: Results of Operations and Financial Condition; Regulation FD Disclosure; Financial Statements and Exhibits,"SEC 8-K filing for CATERPILLAR INC. Items: Results of Operations and Financial Condition, Regulation FD Disclosure, Financial Statements and Exhibits. Filed 2025-08-05.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/18230/000001823025000037/cat-20250805.htm,2025-08-05T06:00:00+00:00,,0.0004,Neutral,0.0004,Neutral,CAT
CATERPILLAR INC — SEC 8-K: Submission of Matters to a Vote of Security Holders; Regulation FD Disclosure; Financial Statements and Exhibits,"SEC 8-K filing for CATERPILLAR INC. Items: Submission of Matters to a Vote of Security Holders, Regulation FD Disclosure, Financial Statements and Exhibits. Filed 2025-06-12.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/18230/000110465925058891/tm2517853d1_8k.htm,2025-06-12T06:00:00+00:00,,0.0096,Neutral,0.0096,Neutral,CAT
CATERPILLAR INC — SEC 8-K: Other Events; Financial Statements and Exhibits,"SEC 8-K filing for CATERPILLAR INC. Items: Other Events, Financial Statements and Exhibits. Filed 2025-05-15.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/18230/000110465925049132/tm2515084d1_8k.htm,2025-05-15T06:00:00+00:00,,-0.0246,Neutral,-0.0246,Neutral,CAT
CATERPILLAR INC — SEC 8-K: Results of Operations and Financial Condition; Regulation FD Disclosure; Financial Statements and Exhibits,"SEC 8-K filing for CATERPILLAR INC. Items: Results of Operations and Financial Condition, Regulation FD Disclosure, Financial Statements and Exhibits. Filed 2025-04-30.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/18230/000001823025000013/cat-20250430.htm,2025-04-30T06:00:00+00:00,,0.0004,Neutral,0.0004,Neutral,CAT
CATERPILLAR INC — SEC 8-K: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Financial Statements and Exhibits,"SEC 8-K filing for CATERPILLAR INC. Items: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers, Financial Statements and Exhibits. Filed 2025-04-15.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/18230/000110465925034874/tm2511879d2_8k.htm,2025-04-15T06:00:00+00:00,,-0.1265,Neutral,-0.1265,Neutral,CAT
CATERPILLAR INC — SEC 8-K: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Financial Statements and Exhibits,"SEC 8-K filing for CATERPILLAR INC. Items: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers, Financial Statements and Exhibits. Filed 2025-04-09.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/18230/000110465925033418/tm2511879d1_8k.htm,2025-04-09T06:00:00+00:00,,-0.1265,Neutral,-0.1265,Neutral,CAT
