title,summary,source,url,published_at,authors,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,ticker_sentiment_label,ticker
Alphabet Inc. — SEC 8-K: Other Events; Financial Statements and Exhibits,"SEC 8-K filing for Alphabet Inc.. Items: Other Events, Financial Statements and Exhibits. Filed 2026-02-13.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1652044/000119312526051423/d946885d8k.htm,2026-02-13T06:00:00+00:00,,-0.0243,Neutral,-0.0243,Neutral,GOOGL
Alphabet Inc. — SEC 8-K: Results of Operations and Financial Condition; Financial Statements and Exhibits,"SEC 8-K filing for Alphabet Inc.. Items: Results of Operations and Financial Condition, Financial Statements and Exhibits. Filed 2026-02-04.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000012/goog-20260204.htm,2026-02-04T06:00:00+00:00,,-0.009,Neutral,-0.009,Neutral,GOOGL
Alphabet Inc. — SEC 8-K: Other Events; Financial Statements and Exhibits,"SEC 8-K filing for Alphabet Inc.. Items: Other Events, Financial Statements and Exhibits. Filed 2025-11-06.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1652044/000119312525269979/d56115d8k.htm,2025-11-06T06:00:00+00:00,,-0.0243,Neutral,-0.0243,Neutral,GOOGL
Alphabet Inc. — SEC 8-K: Results of Operations and Financial Condition; Financial Statements and Exhibits,"SEC 8-K filing for Alphabet Inc.. Items: Results of Operations and Financial Condition, Financial Statements and Exhibits. Filed 2025-10-29.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000087/goog-20251029.htm,2025-10-29T06:00:00+00:00,,-0.009,Neutral,-0.009,Neutral,GOOGL
Alphabet Inc. — SEC 8-K: Other Events,SEC 8-K filing for Alphabet Inc.. Items: Other Events. Filed 2025-09-05.,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000074/goog-20250905.htm,2025-09-05T06:00:00+00:00,,-0.014,Neutral,-0.014,Neutral,GOOGL
Alphabet Inc. — SEC 8-K: Other Events,SEC 8-K filing for Alphabet Inc.. Items: Other Events. Filed 2025-09-03.,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000067/goog-20250902.htm,2025-09-03T06:00:00+00:00,,-0.014,Neutral,-0.014,Neutral,GOOGL
Alphabet Inc. — SEC 8-K: Results of Operations and Financial Condition; Other Events; Financial Statements and Exhibits,"SEC 8-K filing for Alphabet Inc.. Items: Results of Operations and Financial Condition, Other Events, Financial Statements and Exhibits. Filed 2025-07-23.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000056/goog-20250723.htm,2025-07-23T06:00:00+00:00,,-0.028,Neutral,-0.028,Neutral,GOOGL
Alphabet Inc. — SEC 8-K: Other Events; Financial Statements and Exhibits,"SEC 8-K filing for Alphabet Inc.. Items: Other Events, Financial Statements and Exhibits. Filed 2025-07-18.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1652044/000119312525161225/d21412d8k.htm,2025-07-18T06:00:00+00:00,,-0.0243,Neutral,-0.0243,Neutral,GOOGL
Alphabet Inc. — SEC 8-K: Submission of Matters to a Vote of Security Holders,SEC 8-K filing for Alphabet Inc.. Items: Submission of Matters to a Vote of Security Holders. Filed 2025-06-12.,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1652044/000119312525139948/d949049d8k.htm,2025-06-12T06:00:00+00:00,,0.0224,Neutral,0.0224,Neutral,GOOGL
Alphabet Inc. — SEC 8-K: Other Events; Financial Statements and Exhibits,"SEC 8-K filing for Alphabet Inc.. Items: Other Events, Financial Statements and Exhibits. Filed 2025-05-06.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1652044/000119312525113864/d859422d8k.htm,2025-05-06T06:00:00+00:00,,-0.0243,Neutral,-0.0243,Neutral,GOOGL
Alphabet Inc. — SEC 8-K: Other Events; Financial Statements and Exhibits,"SEC 8-K filing for Alphabet Inc.. Items: Other Events, Financial Statements and Exhibits. Filed 2025-05-01.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1652044/000119312525110020/d884388d8k.htm,2025-05-01T06:00:00+00:00,,-0.0243,Neutral,-0.0243,Neutral,GOOGL
Alphabet Inc. — SEC 8-K: Results of Operations and Financial Condition; Other Events; Financial Statements and Exhibits,"SEC 8-K filing for Alphabet Inc.. Items: Results of Operations and Financial Condition, Other Events, Financial Statements and Exhibits. Filed 2025-04-24.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000040/goog-20250423.htm,2025-04-24T06:00:00+00:00,,-0.028,Neutral,-0.028,Neutral,GOOGL
Alphabet Inc. — SEC 8-K: Other Events,SEC 8-K filing for Alphabet Inc.. Items: Other Events. Filed 2025-04-18.,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000033/goog-20250417.htm,2025-04-18T06:00:00+00:00,,-0.014,Neutral,-0.014,Neutral,GOOGL
Alphabet Inc. — SEC 8-K: Regulation FD Disclosure; Other Events,"SEC 8-K filing for Alphabet Inc.. Items: Regulation FD Disclosure, Other Events. Filed 2025-03-18.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000027/goog-20250318.htm,2025-03-18T06:00:00+00:00,,-0.0479,Neutral,-0.0479,Neutral,GOOGL
