title,summary,source,url,published_at,authors,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,ticker_sentiment_label,ticker
COCA COLA CO — SEC 8-K: Results of Operations and Financial Condition; Financial Statements and Exhibits,"SEC 8-K filing for COCA COLA CO. Items: Results of Operations and Financial Condition, Financial Statements and Exhibits. Filed 2026-02-10.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/21344/000162828026006642/ko-20260210.htm,2026-02-10T06:00:00+00:00,,-0.0004,Neutral,-0.0004,Neutral,KO
COCA COLA CO — SEC 8-K: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Financial Statements and Exhibits,"SEC 8-K filing for COCA COLA CO. Items: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers, Financial Statements and Exhibits. Filed 2026-01-14.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/21344/000155278126000017/e26024_ko-8k.htm,2026-01-14T06:00:00+00:00,,-0.1398,Neutral,-0.1398,Neutral,KO
COCA COLA CO — SEC 8-K: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Financial Statements and Exhibits,"SEC 8-K filing for COCA COLA CO. Items: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers, Financial Statements and Exhibits. Filed 2025-12-10.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/21344/000155278125000454/e25454_ko-8k.htm,2025-12-10T06:00:00+00:00,,-0.1398,Neutral,-0.1398,Neutral,KO
COCA COLA CO — SEC 8-K: Results of Operations and Financial Condition; Financial Statements and Exhibits,"SEC 8-K filing for COCA COLA CO. Items: Results of Operations and Financial Condition, Financial Statements and Exhibits. Filed 2025-10-21.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/21344/000162828025045577/ko-20251021.htm,2025-10-21T06:00:00+00:00,,-0.0004,Neutral,-0.0004,Neutral,KO
COCA COLA CO — SEC 8-K: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Financial Statements and Exhibits,"SEC 8-K filing for COCA COLA CO. Items: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers, Financial Statements and Exhibits. Filed 2025-10-16.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/21344/000162828025045223/ko-20251016.htm,2025-10-16T06:00:00+00:00,,-0.1398,Neutral,-0.1398,Neutral,KO
COCA COLA CO — SEC 8-K: Results of Operations and Financial Condition; Financial Statements and Exhibits,"SEC 8-K filing for COCA COLA CO. Items: Results of Operations and Financial Condition, Financial Statements and Exhibits. Filed 2025-07-22.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/21344/000002134425000054/ko-20250722.htm,2025-07-22T06:00:00+00:00,,-0.0004,Neutral,-0.0004,Neutral,KO
COCA COLA CO — SEC 8-K: Other Events; Financial Statements and Exhibits,"SEC 8-K filing for COCA COLA CO. Items: Other Events, Financial Statements and Exhibits. Filed 2025-06-26.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/21344/000002134425000047/ko-20250626.htm,2025-06-26T06:00:00+00:00,,-0.0206,Neutral,-0.0206,Neutral,KO
COCA COLA CO — SEC 8-K: Submission of Matters to a Vote of Security Holders; Financial Statements and Exhibits,"SEC 8-K filing for COCA COLA CO. Items: Submission of Matters to a Vote of Security Holders, Financial Statements and Exhibits. Filed 2025-05-02.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/21344/000002134425000033/ko-20250430.htm,2025-05-02T06:00:00+00:00,,-0.0156,Neutral,-0.0156,Neutral,KO
COCA COLA CO — SEC 8-K: Results of Operations and Financial Condition; Financial Statements and Exhibits,"SEC 8-K filing for COCA COLA CO. Items: Results of Operations and Financial Condition, Financial Statements and Exhibits. Filed 2025-04-29.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/21344/000002134425000024/ko-20250429.htm,2025-04-29T06:00:00+00:00,,-0.0004,Neutral,-0.0004,Neutral,KO
COCA COLA CO — SEC 8-K: Regulation FD Disclosure; Financial Statements and Exhibits,"SEC 8-K filing for COCA COLA CO. Items: Regulation FD Disclosure, Financial Statements and Exhibits. Filed 2025-03-27.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/21344/000002134425000019/ko-20250327.htm,2025-03-27T06:00:00+00:00,,-0.0125,Neutral,-0.0125,Neutral,KO
