title,summary,source,url,published_at,authors,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,ticker_sentiment_label,ticker
EXXON MOBIL CORP — SEC 8-K: Results of Operations and Financial Condition; Regulation FD Disclosure,"SEC 8-K filing for EXXON MOBIL CORP. Items: Results of Operations and Financial Condition, Regulation FD Disclosure. Filed 2026-01-30.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/34088/000003408826000033/xom-20260130.htm,2026-01-30T06:00:00+00:00,,0.0159,Neutral,0.0159,Neutral,XOM
EXXON MOBIL CORP — SEC 8-K: Regulation FD Disclosure,SEC 8-K filing for EXXON MOBIL CORP. Items: Regulation FD Disclosure. Filed 2026-01-07.,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/34088/000003408826000030/xom-20260107.htm,2026-01-07T06:00:00+00:00,,-0.0012,Neutral,-0.0012,Neutral,XOM
EXXON MOBIL CORP — SEC 8-K: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers,SEC 8-K filing for EXXON MOBIL CORP. Items: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers. Filed 2025-12-09.,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/34088/000003408825000122/xom-20251208.htm,2025-12-09T06:00:00+00:00,,-0.1314,Neutral,-0.1314,Neutral,XOM
EXXON MOBIL CORP — SEC 8-K: Other Events,SEC 8-K filing for EXXON MOBIL CORP. Items: Other Events. Filed 2025-11-18.,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/34088/000003408825000074/xom-20251118.htm,2025-11-18T06:00:00+00:00,,-0.0328,Neutral,-0.0328,Neutral,XOM
EXXON MOBIL CORP — SEC 8-K: Other Events; Financial Statements and Exhibits,"SEC 8-K filing for EXXON MOBIL CORP. Items: Other Events, Financial Statements and Exhibits. Filed 2025-11-13.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/34088/000119312525279379/d82416d8k.htm,2025-11-13T06:00:00+00:00,,-0.0328,Neutral,-0.0328,Neutral,XOM
EXXON MOBIL CORP — SEC 8-K: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers,SEC 8-K filing for EXXON MOBIL CORP. Items: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers. Filed 2025-11-03.,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/34088/000003408825000063/xom-20251028.htm,2025-11-03T06:00:00+00:00,,-0.1314,Neutral,-0.1314,Neutral,XOM
EXXON MOBIL CORP — SEC 8-K: Results of Operations and Financial Condition; Regulation FD Disclosure,"SEC 8-K filing for EXXON MOBIL CORP. Items: Results of Operations and Financial Condition, Regulation FD Disclosure. Filed 2025-10-31.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/34088/000003408825000059/xom-20251031.htm,2025-10-31T06:00:00+00:00,,0.0159,Neutral,0.0159,Neutral,XOM
EXXON MOBIL CORP — SEC 8-K: Regulation FD Disclosure,SEC 8-K filing for EXXON MOBIL CORP. Items: Regulation FD Disclosure. Filed 2025-10-06.,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/34088/000003408825000055/xom-20251006.htm,2025-10-06T06:00:00+00:00,,-0.0012,Neutral,-0.0012,Neutral,XOM
EXXON MOBIL CORP — SEC 8-K: Results of Operations and Financial Condition; Regulation FD Disclosure,"SEC 8-K filing for EXXON MOBIL CORP. Items: Results of Operations and Financial Condition, Regulation FD Disclosure. Filed 2025-08-01.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/34088/000003408825000040/xom-20250801.htm,2025-08-01T06:00:00+00:00,,0.0159,Neutral,0.0159,Neutral,XOM
EXXON MOBIL CORP — SEC 8-K: Regulation FD Disclosure,SEC 8-K filing for EXXON MOBIL CORP. Items: Regulation FD Disclosure. Filed 2025-07-07.,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/34088/000003408825000036/xom-20250707.htm,2025-07-07T06:00:00+00:00,,-0.0012,Neutral,-0.0012,Neutral,XOM
