title,summary,source,url,published_at,authors,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,ticker_sentiment_label,ticker
"Soros Fund ups stake in Microsoft, NVIDIA, Apple as part of Q4 moves","Soros Fund Management significantly increased its holdings in major tech companies Microsoft, NVIDIA, and Apple during the fourth quarter. The fund added approximately 161,000 shares of Microsoft and about 118,000 shares of NVIDIA as part of its portfolio adjustments. This move highlights George Soros's fund's continued investment in the technology sector.",Seeking Alpha,https://seekingalpha.com/news/4552162-soros-fund-ups-stake-in-microsoft-nvidia-apple-as-part-of-q4-moves,2026-02-13 22:57:05,Mary Christine Joy,0.44099,Bullish,0.446522,Bullish,AAPL
Prediction: Comfort Systems USA Will Soar in 2026,"Motley Fool contributors Jason Hall and Tyler Crowe predict that Comfort Systems USA (NYSE: FIX) is poised for significant growth in 2026. This projection is attributed to the company's strong position to benefit from the increasing demand for infrastructure related to artificial intelligence. The article encourages investors to consider this opportunity, highlighting past successful stock recommendations by Stock Advisor.",The Globe and Mail,https://www.theglobeandmail.com/investing/markets/stocks/FIX-N/pressreleases/208718/prediction-comfort-systems-usa-will-soar-in-2026/,2026-02-13 20:57:53,"Motley Fool, Jason Hall, Tyler Crowe",0.460543,Bullish,0.410967,Bullish,AAPL
Is the YieldMax AAPL Option Income Strategy ETF’s (APLY) 70% Yield Real or Misleading?,"The article examines the YieldMax AAPL Option Income Strategy ETF (APLY), which boasts a 70.75% yield but relies on option strategies like covered calls. While the high yield is attractive, the ETF comes with 1.06% in annual operating expenses and its share price is prone to decline as distributions are paid out. The author concludes that while the yield isn't misleading, it is risk-prone due to share price weakness, suggesting that direct ownership of Apple stock might be a more prudent investment for many.",24/7 Wall St.,https://247wallst.com/investing/2026/02/13/is-the-yieldmax-aapl-option-income-strategy-etfs-aply-70-yield-real-or-misleading/,2026-02-13 16:28:14,David Moadel,0.152172,Somewhat-Bullish,-0.088581,Neutral,AAPL
"Mirova US LLC Boosts Apple Inc Stake by 15,420 Shares","Mirova US LLC, managed by Philippe Zaouati, recently increased its stake in Apple Inc (AAPL) by 15,420 shares. Apple's stock has shown positive trading, with analysts maintaining a ""Moderate Buy"" view and projecting significant upside due to strong demand and growth in Services and AI. TipRanks' AI Analyst, Spark, rates AAPL as ""Outperform"" based on strong financial performance and a constructive earnings outlook.",TipRanks,https://www.tipranks.com/news/company-announcements/mirova-us-llc-boosts-apple-inc-stake-by-15420-shares,2026-02-13 03:16:55,,0.418565,Bullish,0.436307,Bullish,AAPL
1 Unpopular Stock That Deserves a Second Chance and 2 That Underwhelm,"This article analyzes three stocks, recommending Globalstar (GSAT) as a buying opportunity due to its impressive revenue growth, free cash flow profitability, and increasing returns on capital. Conversely, it advises investors to pass on Bally's (BALY) and Rocket Lab (RKLB) due to concerns like lackluster revenue growth, eroding returns, and negative free cash flow, respectively. The author suggests that Wall Street's pessimism towards GSAT creates an attractive entry point, while its skepticism about BALY and RKLB is well-founded.",Finviz,https://finviz.com/news/311030/1-unpopular-stock-that-deserves-a-second-chance-and-2-that-underwhelm,2026-02-12 23:41:00,Jabin Bastian,-0.238614,Somewhat-Bearish,0.325079,Somewhat-Bullish,AAPL
"Apple has worst day since April as company faces FTC scrutiny, Siri delay reports","Apple experienced its worst stock market day since April 2025, with shares dropping 5%, due to two main factors. Reports emerged that the anticipated AI update for Siri within iOS is being delayed until at least May. Additionally, the company is facing scrutiny from FTC Chair Andrew Ferguson, who formally requested CEO Tim Cook review Apple News's content curation policies following allegations of bias against conservative news outlets.",CNBC,https://www.cnbc.com/2026/02/12/apple-stock-worst-day-ftc-siri.html,2026-02-12 21:56:42,Jennifer Elias,-0.630324,Bearish,-0.649445,Bearish,AAPL
LiveOne Inc (LVO) Q3 2026 Earnings Call Highlights: Strong Revenue Growth and Strategic Partnerships Amidst Competitive Challenges,"LiveOne Inc (LVO) reported robust Q3 2026 financial results with over $20 million in revenue and significant operating expense reductions. The company highlighted its strong B2B pipeline, including over 100 active enterprise opportunities and expanding partnerships with major tech companies. Despite a net loss of $4.1 million and market skepticism, LiveOne is confident in its customized white-label solutions and sustainable cost structure to drive future growth.",GuruFocus,https://www.gurufocus.com/news/8612260/liveone-inc-lvo-q3-2026-earnings-call-highlights-strong-revenue-growth-and-strategic-partnerships-amidst-competitive-challenges,2026-02-12 21:28:12,GuruFocus News,0.183845,Somewhat-Bullish,0.136737,Neutral,AAPL
"Eversource Energy earnings missed, revenue topped estimates","Eversource Energy (NYSE: ES) reported its Q4 earnings, with an EPS of $1.12, missing analyst estimates of $1.13. However, the company's revenue for the quarter reached $3.37 billion, surpassing the consensus estimate of $2.94 billion. Despite the earnings miss, Eversource Energy provided a positive outlook, forecasting FY 2026 EPS to be between $4.80 and $4.95.",Investing.com,https://www.investing.com/news/earnings/eversource-energy-earnings-missed-revenue-topped-estimates-4504017,2026-02-12 21:27:11,Investing.com,-0.204372,Somewhat-Bearish,-0.233386,Somewhat-Bearish,AAPL
Form 424B2 BARCLAYS BANK PLC,"This SEC filing from Barclays Bank PLC outlines the terms for $1,501,000 Callable Contingent Coupon Notes due August 13, 2027, linked to the performance of Amazon, Microsoft, and Apple stock. The document details payment at maturity, contingent coupon conditions, early redemption options, and significant risk considerations for investors, including the creditworthiness of Barclays and the potential impact of U.K. Bail-in Power. It also lists purchase considerations and tax implications for potential investors.",StreetInsider,https://www.streetinsider.com/SEC+Filings/Form+424B2+BARCLAYS+BANK+PLC/25991314.html,2026-02-12 20:57:15,,0.086046,Neutral,0.143606,Neutral,AAPL
"Alphabet Drops 7% Post Q4 Earnings: Buy, Sell or Hold the Stock?","Alphabet (GOOGL) shares dropped 7% after its Q4 2025 earnings report, primarily due to investor concerns over the high capital expenditure guidance for 2026, aimed at building AI and cloud infrastructure. Despite strong cash flow and continued dominance in search and cloud with significant AI integration, the stock is considered overvalued with a ""Hold"" rating from Zacks. The company's AI advancements are boosting user engagement and enterprise client adoption, but increased spending, capacity constraints, and valuation concerns temper short-term enthusiasm.",The Globe and Mail,https://www.theglobeandmail.com/investing/markets/stocks/AAPL/pressreleases/187349/alphabet-drops-7-post-q4-earnings-buy-sell-or-hold-the-stock/,2026-02-12 18:26:26,Zacks Investment Research,-0.041425,Neutral,0.0692,Neutral,AAPL
