title,summary,source,url,published_at,authors,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,ticker_sentiment_label,ticker
"Soros Fund ups stake in Microsoft, NVIDIA, Apple as part of Q4 moves","Soros Fund Management significantly increased its holdings in major tech companies Microsoft, NVIDIA, and Apple during the fourth quarter. The fund added approximately 161,000 shares of Microsoft and about 118,000 shares of NVIDIA as part of its portfolio adjustments. This move highlights George Soros's fund's continued investment in the technology sector.",Seeking Alpha,https://seekingalpha.com/news/4552162-soros-fund-ups-stake-in-microsoft-nvidia-apple-as-part-of-q4-moves,2026-02-13 22:57:05,Mary Christine Joy,0.44099,Bullish,0.436973,Bullish,MSFT
"Oracle Seals Landmark CMS Cloud Deal, Solidifying Dominance in Federal Healthcare Infrastructure","Oracle has secured a significant multi-billion-dollar contract with the Centers for Medicare and Medicaid Services (CMS) to migrate and manage mission-critical cloud workloads for over 150 million Americans. This deal validates Oracle's industry-specific cloud strategy, evidenced by a 359% year-over-year increase in its Remaining Performance Obligations to $523 billion, and positions the company as a major player in the federal cloud market, challenging established hyperscalers like Amazon and Microsoft. The contract outlines a 36-month modernization roadmap for Medicare, Medicaid, CHIP, and ACA data, leveraging Oracle Cloud Infrastructure's FedRAMP High security and autonomous database technology.",FinancialContent,https://markets.financialcontent.com/stocks/article/marketminute-2026-2-13-oracle-seals-landmark-cms-cloud-deal-solidifying-dominance-in-federal-healthcare-infrastructure,2026-02-13 22:17:53,MarketMinute,-0.050349,Neutral,-0.300859,Somewhat-Bearish,MSFT
"Most CFOs expect larger IT budgets, ‘collapsing’ staff growth: Gartner","A Gartner survey reveals that three-quarters of global CFOs anticipate increased technology budgets this year, with nearly half expecting rises of 10% or more, driven by digital transformation, AI adoption, and cybersecurity needs. Conversely, staff growth expectations are significantly shrinking from 6% in 2025 to 2% in 2026, indicating a shift towards optimization through automation and AI rather than headcount expansion. While overall IT spending is projected to reach $6.15 trillion in 2026, AI investment within finance tech budgets remains modest for most CFOs, though a decisive acceleration in AI spending is anticipated.",CFO Dive,https://www.cfodive.com/news/75percent-cfos-anticipate-bigger-tech-budgets-this-year-gartner/812254/,2026-02-13 21:40:38,Alexei Alexis,0.340533,Somewhat-Bullish,0.290188,Somewhat-Bullish,MSFT
Why Is Ingersoll Rand (IR) Stock Rocketing Higher Today,"Ingersoll Rand (IR) stock jumped 6.1% after reporting strong fourth-quarter 2025 results that exceeded analyst expectations for both revenue and profit. The company's adjusted earnings of $0.96 per share and revenue of $2.09 billion both surpassed Wall Street forecasts. Despite a mixed full-year 2026 outlook, the significant stock movement suggests the market views these results as meaningful, propelling Ingersoll Rand to a new 52-week high.",FinancialContent,https://markets.financialcontent.com/wral/article/stockstory-2026-2-13-why-is-ingersoll-rand-ir-stock-rocketing-higher-today,2026-02-13 20:56:38,StockStory,0.236942,Somewhat-Bullish,0.223159,Somewhat-Bullish,MSFT
The Lesson for Investors As the AI Trade Cuts the Other Way,"The article discusses how AI, initially a boon for tech stocks, is now causing a significant downturn in software stocks. The fear stems from new AI programs that allow companies to create their own software, potentially minimizing the need for software providers. This has led to panic selling in software-heavy funds, though diversified portfolios, especially those in small-cap value industries and AI supply chain companies, are performing well, highlighting the importance of diversification.",Morningstar,https://www.morningstar.com/funds/lesson-investors-ai-trade-cuts-other-way,2026-02-13 19:20:40,Russel Kinnel,-0.325038,Somewhat-Bearish,-0.425032,Bearish,MSFT
Who’s No. 1 among Massachusetts public companies? You can’t spell the name without ‘GE.’,"GE Vernova has risen to become Massachusetts's most valuable publicly traded company, surpassing Thermo Fisher with a market cap over $200 billion. This resurgence, largely fueled by the AI-driven data center boom, marks a significant turnaround for the company after GE's previous struggles and breakup. Despite initial skepticism about its potential, GE Vernova's stock has soared, and its revenue projections and acquisition activity reflect strong growth in the global move toward electrification.",The Boston Globe,https://www.bostonglobe.com/2026/02/13/business/ge-vernova-massachusetts-public-companies/,2026-02-13 17:56:33,Jon Chesto,0.190627,Somewhat-Bullish,0.327931,Somewhat-Bullish,MSFT
"Platforms, AI and Concentration","The cybersecurity industry is undergoing a significant transformation driven by platform consolidation, the integration of AI as an operating lever, and increasing concentration risk. Recent high-value acquisitions and operational events demonstrate a shift towards fewer security platforms and AI-driven efficiency, leading to faster-spreading operational failures when dependencies are concentrated. This new reality demands that cybersecurity companies adapt their strategies to focus on platform economics, leverage AI for operational efficiency, manage concentration deliberately, and align growth with execution capacity.",FTI Consulting,https://www.fticonsulting.com/insights/articles/platforms-ai-concentration,2026-02-13 17:27:16,,0.127377,Neutral,0.139176,Neutral,MSFT
"Oracle Seals Landmark CMS Cloud Deal, Solidifying Dominance in Federal Healthcare Infrastructure","Oracle has secured a massive, multi-billion-dollar contract with the Centers for Medicare and Medicaid Services (CMS) to migrate and manage critical workloads for over 150 million Americans using Oracle Cloud Infrastructure (OCI). This deal validates Oracle's industry-specific cloud strategy and positions it as a leader in the federal cloud market, significantly boosting its Remaining Performance Obligations to $523 billion. The contract signals a major shift in federal IT towards specialized cloud providers and away from legacy systems and general-purpose hyperscalers.",FinancialContent,https://markets.financialcontent.com/wral/article/marketminute-2026-2-13-oracle-seals-landmark-cms-cloud-deal-solidifying-dominance-in-federal-healthcare-infrastructure,2026-02-13 17:16:00,MarketMinute,-0.057034,Neutral,-0.224495,Somewhat-Bearish,MSFT
RELX Plc (NYSE:RELX) Q4 2025 Earnings Call Transcript,"RELX Plc reported strong financial results for Q4 2025, with underlying revenue growth of 7% and adjusted earnings per share growth of 10% at constant currency. All four business areas—Risk, STM, Legal, and Exhibitions—performed well, driven by integration of AI-enabled analytics and decision tools, new product introductions, and strategic shifts towards higher-value offerings. The company emphasized its content advantage and continued investment in organic development while maintaining a strong balance sheet and increasing shareholder returns through dividends and share buybacks.",Insider Monkey,https://www.insidermonkey.com/blog/relx-plc-nyserelx-q4-2025-earnings-call-transcript-1695369/,2026-02-13 13:57:38,Insider Monkey Transcripts,0.253943,Somewhat-Bullish,0.113148,Neutral,MSFT
Curtiss-Wright Corporation (NYSE:CW) Q4 2025 Earnings Call Transcript,"Curtiss-Wright Corporation reported strong financial performance for Q4 and full year 2025, with significant growth in sales, profitability, and free cash flow, driven by its ""pivot to growth"" strategy. The company anticipates continued growth in 2026, outperforming initial Investor Day financial targets, particularly in defense and commercial nuclear markets. Management discussed increased investments in R&D, strategic capital allocation including share repurchases, and an optimistic outlook despite some timing delays in defense orders.",Insider Monkey,https://www.insidermonkey.com/blog/curtiss-wright-corporation-nysecw-q4-2025-earnings-call-transcript-1695308/,2026-02-13 13:14:06,Insider Monkey Transcripts,0.404652,Bullish,0.330315,Somewhat-Bullish,MSFT
