date,ticker,actual,predicted,prob_up
2025-06-20,AAPL,1.0,1,0.9024983
2025-06-20,AMZN,1.0,1,0.9681516
2025-06-20,BA,1.0,1,0.93101025
2025-06-20,BAC,1.0,1,0.953772
2025-06-20,CAT,1.0,1,0.9621765
2025-06-20,CVX,1.0,1,0.7696643
2025-06-20,GOOGL,1.0,1,0.73888636
2025-06-20,GS,1.0,1,0.94847006
2025-06-20,JNJ,1.0,1,0.76031864
2025-06-20,JPM,1.0,1,0.9544041
2025-06-20,KO,1.0,1,0.60667396
2025-06-20,META,1.0,1,0.94544977
2025-06-20,MSFT,1.0,1,0.95031506
2025-06-20,NVDA,1.0,1,0.90671283
2025-06-20,PFE,1.0,1,0.8504612
2025-06-20,TSLA,1.0,1,0.7666576
2025-06-20,UNH,0.0,1,0.59484804
2025-06-20,WMT,0.0,1,0.5866974
2025-06-20,XOM,0.0,0,0.19908386
2025-06-23,AAPL,1.0,1,0.82644194
2025-06-23,AMZN,1.0,1,0.94171184
2025-06-23,BA,1.0,1,0.8924302
2025-06-23,BAC,1.0,1,0.9439769
2025-06-23,CAT,1.0,1,0.9629194
2025-06-23,CVX,1.0,1,0.6828112
2025-06-23,GOOGL,1.0,1,0.8339972
2025-06-23,GS,1.0,1,0.935595
2025-06-23,JNJ,1.0,1,0.81049085
2025-06-23,JPM,1.0,1,0.9527095
2025-06-23,KO,0.0,1,0.75288033
2025-06-23,META,1.0,1,0.8992057
2025-06-23,MSFT,1.0,1,0.9511193
2025-06-23,NVDA,1.0,1,0.8903934
2025-06-23,PFE,1.0,1,0.8299236
2025-06-23,TSLA,0.0,1,0.6219704
2025-06-23,UNH,0.0,1,0.6368368
2025-06-23,WMT,0.0,1,0.5287005
2025-06-23,XOM,0.0,0,0.10428112
2025-06-24,AAPL,1.0,1,0.91551083
2025-06-24,AMZN,1.0,1,0.9483804
2025-06-24,BA,1.0,1,0.8914699
2025-06-24,BAC,1.0,1,0.9307176
2025-06-24,CAT,1.0,1,0.9317341
2025-06-24,CVX,1.0,1,0.75595725
2025-06-24,GOOGL,1.0,1,0.88251495
2025-06-24,GS,1.0,1,0.9196255
2025-06-24,JNJ,1.0,1,0.62776077
2025-06-24,JPM,1.0,1,0.9382522
2025-06-24,KO,0.0,1,0.59462136
2025-06-24,META,1.0,1,0.88161695
2025-06-24,MSFT,1.0,1,0.9213216
2025-06-24,NVDA,1.0,1,0.9397276
2025-06-24,PFE,1.0,1,0.85924166
2025-06-24,TSLA,0.0,1,0.5562279
2025-06-24,UNH,0.0,1,0.66952056
2025-06-24,WMT,0.0,0,0.39369872
2025-06-24,XOM,1.0,0,0.35888773
2025-06-25,AAPL,1.0,1,0.9343822
2025-06-25,AMZN,1.0,1,0.95678407
2025-06-25,BA,1.0,1,0.8341279
2025-06-25,BAC,1.0,1,0.928814
2025-06-25,CAT,1.0,1,0.9517371
2025-06-25,CVX,1.0,1,0.7063824
2025-06-25,GOOGL,1.0,1,0.7537803
2025-06-25,GS,1.0,1,0.91980565
2025-06-25,JNJ,1.0,1,0.7530181
2025-06-25,JPM,1.0,1,0.93725204
2025-06-25,KO,0.0,0,0.32275793
2025-06-25,META,1.0,1,0.93480396
2025-06-25,MSFT,1.0,1,0.9306897
2025-06-25,NVDA,1.0,1,0.91785157
2025-06-25,PFE,1.0,1,0.8825846
2025-06-25,TSLA,0.0,0,0.49302804
2025-06-25,UNH,0.0,1,0.54659325
2025-06-25,WMT,0.0,0,0.31371328
2025-06-25,XOM,1.0,1,0.57821834
2025-06-26,AAPL,1.0,1,0.93310994
2025-06-26,AMZN,1.0,1,0.9341343
2025-06-26,BA,1.0,1,0.8778811
2025-06-26,BAC,1.0,1,0.90964127
2025-06-26,CAT,1.0,1,0.93721277
2025-06-26,CVX,1.0,1,0.8140639
2025-06-26,GOOGL,1.0,1,0.6217235
2025-06-26,GS,1.0,1,0.8298637
2025-06-26,JNJ,1.0,1,0.6257292
2025-06-26,JPM,1.0,1,0.92916024
2025-06-26,KO,0.0,0,0.4984994
2025-06-26,META,0.0,1,0.9237674
2025-06-26,MSFT,1.0,1,0.95246017
2025-06-26,NVDA,1.0,1,0.8615505
2025-06-26,PFE,1.0,1,0.82006556
2025-06-26,TSLA,0.0,1,0.6001722
2025-06-26,UNH,0.0,0,0.49691507
2025-06-26,WMT,1.0,0,0.39255267
2025-06-26,XOM,1.0,1,0.5347575
2025-06-27,AAPL,1.0,1,0.9441917
2025-06-27,AMZN,1.0,1,0.9285808
2025-06-27,BA,1.0,1,0.7748448
2025-06-27,BAC,1.0,1,0.925404
2025-06-27,CAT,1.0,1,0.9439375
2025-06-27,CVX,1.0,1,0.8551779
2025-06-27,GOOGL,1.0,1,0.62720275
2025-06-27,GS,1.0,1,0.6076435
2025-06-27,JNJ,1.0,1,0.6947243
2025-06-27,JPM,1.0,1,0.93357134
2025-06-27,KO,0.0,0,0.35827586
2025-06-27,META,0.0,1,0.8712392
2025-06-27,MSFT,1.0,1,0.882265
2025-06-27,NVDA,1.0,1,0.67659134
2025-06-27,PFE,1.0,1,0.80053186
2025-06-27,TSLA,1.0,1,0.79655164
2025-06-27,UNH,0.0,0,0.43267366
2025-06-27,WMT,1.0,1,0.6886318
2025-06-27,XOM,1.0,1,0.65014505
2025-06-30,AAPL,1.0,1,0.9445296
2025-06-30,AMZN,1.0,1,0.96125454
2025-06-30,BA,1.0,1,0.8339025
2025-06-30,BAC,1.0,1,0.95338017
2025-06-30,CAT,1.0,1,0.9226982
2025-06-30,CVX,1.0,1,0.8244757
2025-06-30,GOOGL,1.0,1,0.89615715
2025-06-30,GS,1.0,1,0.7848933
2025-06-30,JNJ,1.0,1,0.7099431
2025-06-30,JPM,1.0,1,0.9349273
2025-06-30,KO,0.0,0,0.37354442
2025-06-30,META,0.0,1,0.8566433
2025-06-30,MSFT,1.0,1,0.9268795
2025-06-30,NVDA,1.0,1,0.7354203
2025-06-30,PFE,1.0,1,0.83161527
2025-06-30,TSLA,1.0,1,0.74633515
2025-06-30,UNH,0.0,1,0.532247
2025-06-30,WMT,1.0,1,0.500232
2025-06-30,XOM,1.0,1,0.6727659
2025-07-01,AAPL,1.0,1,0.92232525
2025-07-01,AMZN,1.0,1,0.94074476
2025-07-01,BA,1.0,1,0.8311349
2025-07-01,BAC,0.0,1,0.9348356
2025-07-01,CAT,1.0,1,0.89627355
2025-07-01,CVX,1.0,1,0.8038051
2025-07-01,GOOGL,1.0,0,0.421415
2025-07-01,GS,1.0,1,0.68473774
2025-07-01,JNJ,1.0,1,0.60087454
2025-07-01,JPM,1.0,1,0.8876035
2025-07-01,KO,0.0,0,0.23939693
2025-07-01,META,0.0,1,0.6477518
2025-07-01,MSFT,1.0,1,0.9404617
2025-07-01,NVDA,1.0,1,0.60607773
2025-07-01,PFE,0.0,1,0.7957461
2025-07-01,TSLA,1.0,1,0.8866868
2025-07-01,UNH,0.0,1,0.51601404
2025-07-01,WMT,0.0,0,0.30588204
2025-07-01,XOM,1.0,1,0.7321491
2025-07-02,AAPL,0.0,1,0.91217107
